id,cod,nome
"8853","ADAMANTINA","Adamantina"
"4529","ALENQUER","Alenquer"
"7408","ALVORADA","Alvorada"
"8886","AMPARO","Amparo"
"4539","ANANINDEUA","Ananindeua"
"2065","ANAPOLIS","Anapolis"
"6845","ANGRA@DOS@REIS","Angra dos Reis"
"8770","ARACAJU","Aracaju"
"9805","ARAGUAINA","Araguaina"
"2695","ARAGUARI","Araguari"
"5783","ARAPONGAS","Arapongas"
"8912","ARARAQUARA","Araraquara"
"7315","ARIQUEMES","Ariquemes"
"8926","ASSIS","Assis"
"5797","ASSIS@CHATEAUBRIAND","Assis Chateaubriand"
"8933","AVARE","Avare"
"2390","BACABAL","Bacabal"
"8357","BALNEARIO@CAMBORIU","Balneario Camboriu"
"2735","BARBACENA","Barbacena"
"2398","BARRA@DO@CORDA","Barra do Corda"
"6862","BARRA@DO@PIRAI","Barra do Pirai"
"403","BARREIRAS","Barreiras"
"8956","BARUERI","Barueri"
"8961","BAURU","Bauru"
"8962","BEBEDOURO","Bebedouro"
"4565","BELEM","Belem"
"6865","BELFORD@ROXO","Belford Roxo"
"2754","BELO@HORIZONTE","Belo Horizonte"
"5169","BELO@JARDIM","Belo Jardim"
"7466","BENTO@GONCALVES","Bento Goncalves"
"8377","BLUMENAU","Blumenau"
"7375","BOA@VISTA","Boa Vista"
"2774","BOM@DESPACHO","Bom Despacho"
"8989","BOTUCATU","Botucatu"
"1778","BRASILIA","Brasilia"
"4892","CABEDELO","Cabedelo"
"8391","CACADOR","Cacador"
"9005","CACAPAVA","Cacapava"
"4313","CACERES","Caceres"
"7502","CACHOEIRINHA","Cachoeirinha"
"1839","CACHOEIRO@DE@ITAPEMIRIM","Cachoeiro de Itapemirim"
"461","CAETITE","Caetite"
"2107","CALDAS@NOVAS","Caldas Novas"
"4593","CAMETA","Cameta"
"4141","CAMPO@GRANDE","Campo Grande"
"5911","CAMPO@LARGO","Campo Largo"
"6881","CAMPOS@DOS@GOYTACAZES","Campos dos Goytacazes"
"9043","CARAGUATATUBA","Caraguatatuba"
"2885","CARATINGA","Caratinga"
"5216","CARUARU","Caruaru"
"5941","CASCAVEL","Cascavel"
"9052","CATANDUVA","Catanduva"
"1284","CAUCAIA","Caucaia"
"7566","CAXIAS@DO@SUL","Caxias do Sul"
"5959","CIANORTE","Cianorte"
"2437","CODO","Codo"
"1847","COLATINA","Colatina"
"4610","CONCEICAO@DO@ARAGUAIA","Conceicao do Araguaia"
"8424","CONCORDIA","Concordia"
"2976","CONSELHEIRO@LAFAIETE","Conselheiro Lafaiete"
"5996","CORNELIO@PROCOPIO","Cornelio Procopio"
"2990","CORONEL@FABRICIANO","Coronel Fabriciano"
"9082","COTIA","Cotia"
"4154","COXIM","Coxim"
"1300","CRATEUS","Crateus"
"9088","CUBATAO","Cubatao"
"4347","CUIABA","Cuiaba"
"6015","CURITIBA","Curitiba"
"74","DELMIRO@GOUVEIA","Delmiro Gouveia"
"3047","DIVINOPOLIS","Divinopolis"
"9103","DRACENA","Dracena"
"7675","ERECHIM","Erechim"
"579","EUNAPOLIS","Eunapolis"
"8452","FLORIANOPOLIS","Florianopolis"
"2165","FORMOSA","Formosa"
"1347","FORTALEZA","Fortaleza"
"6091","FOZ@DO@IGUACU","Foz do Iguacu"
"9144","FRANCA","Franca"
"3146","FRUTAL","Frutal"
"5261","GOIANA","Goiana"
"2174","GOIANIA","Goiania"
"7744","GRAMADO","Gramado"
"7750","GUAIBA","Guaiba"
"606","GUANAMBI","Guanambi"
"6131","GUARAPUAVA","Guarapuava"
"9177","GUARATINGUETA","Guaratingueta"
"9183","GUARULHOS","Guarulhos"
"3190","GUAXUPE","Guaxupe"
"9197","IBITINGA","Ibitinga"
"9216","INDAIATUBA","Indaiatuba"
"669","IPIRA","Ipira"
"3234","ITABIRA","Itabira"
"6941","ITABORAI","Itaborai"
"683","ITABUNA","Itabuna"
"8507","ITAJAI","Itajai"
"9237","ITANHAEM","Itanhaem"
"6950","ITAPERUNA","Itaperuna"
"9240","ITAPETININGA","Itapetininga"
"1422","ITAPIPOCA","Itapipoca"
"9244","ITAPIRA","Itapira"
"9250","ITAQUAQUECETUBA","Itaquaquecetuba"
"3267","ITAUNA","Itauna"
"9260","ITU","Itu"
"2204","ITUMBIARA","Itumbiara"
"5302","JABOATAO@DOS@GUARARAPES","Jaboatao dos Guararapes"
"9267","JACAREI","Jacarei"
"736","JACOBINA","Jacobina"
"3290","JANAUBA","Janauba"
"9285","JAU","Jau"
"749","JEQUIE","Jequie"
"7336","JI-PARANA","Ji"-parana
"3304","JOAO@MONLEVADE","Joao Monlevade"
"4964","JOAO@PESSOA","Joao Pessoa"
"8521","JOINVILLE","Joinville"
"3315","JUIZ@DE@FORA","Juiz de Fora"
"9295","JUNDIAI","Jundiai"
"8802","LAGARTO","Lagarto"
"8525","LAGES","Lages"
"7823","LAJEADO","Lajeado"
"789","LAURO@DE@FREITAS","Lauro de Freitas"
"3344","LEOPOLDINA","Leopoldina"
"9317","LIMEIRA","Limeira"
"1470","LIMOEIRO@DO@NORTE","Limoeiro do Norte"
"1925","LINHARES","Linhares"
"9319","LINS","Lins"
"9321","LORENA","Lorena"
"2222","LUZIANIA","Luziania"
"307","MACAPA","Macapa"
"109","MACEIO","Maceio"
"8543","MAFRA","Mafra"
"6964","MAGE","Mage"
"241","MANACAPURU","Manacapuru"
"243","MANAUS","Manaus"
"4677","MARABA","Maraba"
"1486","MARACANAU","Maracanau"
"6297","MARECHAL@CANDIDO@RONDON","Marechal Candido Rondon"
"9354","MATAO","Matao"
"9366","MIRASSOL","Mirassol"
"9369","MOGI@DAS@CRUZES","Mogi das Cruzes"
"9371","MOGI@MIRIM","Mogi Mirim"
"3441","MONTE@CARMELO","Monte Carmelo"
"2240","MORRINHOS","Morrinhos"
"7220","MOSSORO","Mossoro"
"3460","MURIAE","Muriae"
"7221","NATAL","Natal"
"6988","NILOPOLIS","Nilopolis"
"4210","NOVA@ANDRADINA","Nova Andradina"
"6993","NOVA@FRIBURGO","Nova Friburgo"
"9425","OLIMPIA","Olimpia"
"5362","OLINDA","Olinda"
"3500","OLIVEIRA","Oliveira"
"7925","OSORIO","Osorio"
"9435","OURINHOS","Ourinhos"
"8589","PALHOCA","Palhoca"
"9899","PALMAS","Palmas"
"3531","PARA@DE@MINAS","Para de Minas"
"6418","PARANAGUA","Paranagua"
"4730","PARAUAPEBAS","Parauapebas"
"3547","PASSOS","Passos"
"6427","PATO@BRANCO","Pato Branco"
"3551","PATROCINIO","Patrocinio"
"9464","PAULINIA","Paulinia"
"909","PAULO@AFONSO","Paulo Afonso"
"7965","PELOTAS","Pelotas"
"5389","PETROLINA","Petrolina"
"7012","PETROPOLIS","Petropolis"
"5665","PICOS","Picos"
"2538","PINHEIRO","Pinheiro"
"9493","PIRACICABA","Piracicaba"
